FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_REGISTRO,PRODUCTO,PRECIO_MAYORISTA,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MAY,UNIDAD_MEDIDA_MIN
20260406,PIURA,PIURA,PIURA,200101,20260313,Haba verde serrana,2.72,7.15,Legumbres,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Garbanzo,5.08,10,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Pina criolla,1.85,2.55,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Frijol castilla,3.99,7.2,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Papaya,2.4,2.75,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Palta fuerte,5,8.25,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Pallar,5.65,8.2,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Olluco largo,3.1,4.85,Tuberculos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Naranja valencia,2.65,4.75,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Chirimoya cumbe,5,6.4,Frutas,CAJON CHICO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Uva alfonso lavalett,4,7.05,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Cebolla cabeza roja,1.92,4.25,Hortalizas,SACO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Carne de porcino (corte unico),18.25,20.25,Carnes y huevos,UNIDAD,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Papa canchan,1.76,3.05,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Vainita americana,3.11,6.2,Legumbres,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Papa amarilla,3.01,5.6,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Uva red globe,3,6.25,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Camote morado,1.97,3.65,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Melocoton durazno huayco,5.43,9.8,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Arveja verde blanca serrana,7.08,8.65,Legumbres,MALLA MEDIANA,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Manzana israel,2.98,5.1,Frutas,KILOGRAMO,KILOGRAMO
